algorithm,edge_selection,inc_init,onion_init,area,cgal_area,pick_area,poly_to_ch_ratio,time,is_simple,points,points_on_poly,in_file
incremental,1,1a,-1,102572,102572,-1,0.612809,0.033,1,10,10,uniform-0000010-1
incremental,1,1b,-1,86164,86164,-1,0.514781,0.034,1,10,10,uniform-0000010-1
incremental,1,2a,-1,115480,115480,-1,0.689927,0.034,1,10,10,uniform-0000010-1
incremental,1,2b,-1,87020,87020,-1,0.519895,0.036,1,10,10,uniform-0000010-1
incremental,2,1a,-1,71780,71780,-1,0.428845,0.023,1,10,10,uniform-0000010-1
incremental,2,1b,-1,87020,87020,-1,0.519895,0.024,1,10,10,uniform-0000010-1
incremental,2,2a,-1,95218,95218,-1,0.568873,0.026,1,10,10,uniform-0000010-1
incremental,2,2b,-1,81938,81938,-1,0.489533,0.137,1,10,10,uniform-0000010-1
incremental,3,1a,-1,131092,131092,-1,0.783200,0.02,1,10,10,uniform-0000010-1
incremental,3,1b,-1,124302,124302,-1,0.742634,0.027,1,10,10,uniform-0000010-1
incremental,3,2a,-1,141824,141824,-1,0.847317,0.028,1,10,10,uniform-0000010-1
incremental,3,2b,-1,121446,121446,-1,0.725571,0.026,1,10,10,uniform-0000010-1
incremental,1,1a,-1,67534116,67534116,-1,0.629862,0.094,1,10,10,london-0000010
incremental,1,1b,-1,61086304,61086304,-1,0.569726,0.035,1,10,10,london-0000010
incremental,1,2a,-1,61321014,61321014,-1,0.571915,0.036,1,10,10,london-0000010
incremental,1,2b,-1,72229356,72229356,-1,0.673652,0.039,1,10,10,london-0000010
incremental,2,1a,-1,67394826,67394826,-1,0.628563,0.024,1,10,10,london-0000010
incremental,2,1b,-1,51617062,51617062,-1,0.481410,0.029,1,10,10,london-0000010
incremental,2,2a,-1,29663362,29663362,-1,0.276657,0.029,1,10,10,london-0000010
incremental,2,2b,-1,59279566,59279566,-1,0.552875,0.029,1,10,10,london-0000010
incremental,3,1a,-1,82422678,82422678,-1,0.768721,0.028,1,10,10,london-0000010
incremental,3,1b,-1,85022150,85022150,-1,0.792965,0.032,1,10,10,london-0000010
incremental,3,2a,-1,79480558,79480558,-1,0.741281,0.033,1,10,10,london-0000010
incremental,3,2b,-1,87996452,87996452,-1,0.820705,0.033,1,10,10,london-0000010
incremental,1,1a,-1,23532808,23532808,-1,0.737558,0.037,1,10,10,euro-night-0000010
incremental,1,1b,-1,21429148,21429148,-1,0.671626,0.032,1,10,10,euro-night-0000010
incremental,1,2a,-1,24777422,24777422,-1,0.776566,0.034,1,10,10,euro-night-0000010
incremental,1,2b,-1,21429148,21429148,-1,0.671626,0.035,1,10,10,euro-night-0000010
incremental,2,1a,-1,12394688,12394688,-1,0.388471,0.024,1,10,10,euro-night-0000010
incremental,2,1b,-1,17917108,17917108,-1,0.561553,0.022,1,10,10,euro-night-0000010
incremental,2,2a,-1,15402292,15402292,-1,0.482734,0.025,1,10,10,euro-night-0000010
incremental,2,2b,-1,22066906,22066906,-1,0.691614,0.025,1,10,10,euro-night-0000010
incremental,3,1a,-1,25043960,25043960,-1,0.784920,0.038,1,10,10,euro-night-0000010
incremental,3,1b,-1,25185518,25185518,-1,0.789357,0.032,1,10,10,euro-night-0000010
incremental,3,2a,-1,25290384,25290384,-1,0.792644,0.029,1,10,10,euro-night-0000010
incremental,3,2b,-1,25439656,25439656,-1,0.797322,0.026,1,10,10,euro-night-0000010
incremental,1,1a,-1,10271596,10271596,-1,0.706442,0.034,1,10,10,us-night-0000010
incremental,1,1b,-1,9434188,9434188,-1,0.648848,0.032,1,10,10,us-night-0000010
incremental,1,2a,-1,11681690,11681690,-1,0.803423,0.06,1,10,10,us-night-0000010
incremental,1,2b,-1,9973520,9973520,-1,0.685942,0.035,1,10,10,us-night-0000010
incremental,2,1a,-1,9808126,9808126,-1,0.674566,0.021,1,10,10,us-night-0000010
incremental,2,1b,-1,6978962,6978962,-1,0.479987,0.028,1,10,10,us-night-0000010
incremental,2,2a,-1,6929914,6929914,-1,0.476614,0.025,1,10,10,us-night-0000010
incremental,2,2b,-1,10867808,10867808,-1,0.747447,0.113,1,10,10,us-night-0000010
incremental,3,1a,-1,12159534,12159534,-1,0.836287,0.026,1,10,10,us-night-0000010
incremental,3,1b,-1,9973520,9973520,-1,0.685942,0.027,1,10,10,us-night-0000010
incremental,3,2a,-1,12319388,12319388,-1,0.847282,0.03,1,10,10,us-night-0000010
incremental,3,2b,-1,10648386,10648386,-1,0.732356,0.027,1,10,10,us-night-0000010
incremental,1,1a,-1,119890,119890,-1,0.767738,0.031,1,10,10,uniform-0000010-2
incremental,1,1b,-1,78768,78768,-1,0.504406,0.032,1,10,10,uniform-0000010-2
incremental,1,2a,-1,133910,133910,-1,0.857518,0.035,1,10,10,uniform-0000010-2
incremental,1,2b,-1,90760,90760,-1,0.581199,0.035,1,10,10,uniform-0000010-2
incremental,2,1a,-1,77254,77254,-1,0.494711,0.023,1,10,10,uniform-0000010-2
incremental,2,1b,-1,51568,51568,-1,0.330225,0.027,1,10,10,uniform-0000010-2
incremental,2,2a,-1,51568,51568,-1,0.330225,0.027,1,10,10,uniform-0000010-2
incremental,2,2b,-1,90760,90760,-1,0.581199,0.028,1,10,10,uniform-0000010-2
incremental,3,1a,-1,141112,141112,-1,0.903637,0.024,1,10,10,uniform-0000010-2
incremental,3,1b,-1,133886,133886,-1,0.857364,0.02,1,10,10,uniform-0000010-2
incremental,3,2a,-1,140296,140296,-1,0.898412,0.022,1,10,10,uniform-0000010-2
incremental,3,2b,-1,140296,140296,-1,0.898412,0.022,1,10,10,uniform-0000010-2
incremental,1,1a,-1,59668179104,59668179104,-1,0.429826,0.037,1,10,10,stars-0000010
incremental,1,1b,-1,107475116826,107475116826,-1,0.774209,0.034,1,10,10,stars-0000010
incremental,1,2a,-1,96869656400,96869656400,-1,0.697811,0.039,1,10,10,stars-0000010
incremental,1,2b,-1,91628636540,91628636540,-1,0.660057,0.044,1,10,10,stars-0000010
incremental,2,1a,-1,59925818086,59925818086,-1,0.431682,0.028,1,10,10,stars-0000010
incremental,2,1b,-1,92333671260,92333671260,-1,0.665136,0.026,1,10,10,stars-0000010
incremental,2,2a,-1,42450068058,42450068058,-1,0.305794,0.026,1,10,10,stars-0000010
incremental,2,2b,-1,79196703476,79196703476,-1,0.570502,0.07,1,10,10,stars-0000010
incremental,3,1a,-1,104930649890,104930649890,-1,0.755879,0.025,1,10,10,stars-0000010
incremental,3,1b,-1,115085241372,115085241372,-1,0.829029,0.033,1,10,10,stars-0000010
incremental,3,2a,-1,115556892204,115556892204,-1,0.832427,0.027,1,10,10,stars-0000010
incremental,3,2b,-1,100379077262,100379077262,-1,0.723092,0.032,1,10,10,stars-0000010
incremental,1,1a,-1,90603048,90603048,-1,0.667894,0.066,1,15,15,london-0000015
incremental,1,1b,-1,98623616,98623616,-1,0.727019,0.055,1,15,15,london-0000015
incremental,1,2a,-1,70653232,70653232,-1,0.520831,0.068,1,15,15,london-0000015
incremental,1,2b,-1,81698084,81698084,-1,0.602250,0.123,1,15,15,london-0000015
incremental,2,1a,-1,72059332,72059332,-1,0.531196,0.047,1,15,15,london-0000015
incremental,2,1b,-1,70515538,70515538,-1,0.519816,0.051,1,15,15,london-0000015
incremental,2,2a,-1,28207930,28207930,-1,0.207939,0.051,1,15,15,london-0000015
incremental,2,2b,-1,23124390,23124390,-1,0.170465,0.051,1,15,15,london-0000015
incremental,3,1a,-1,86055088,86055088,-1,0.634368,0.063,1,15,15,london-0000015
incremental,3,1b,-1,109571524,109571524,-1,0.807723,0.06,1,15,15,london-0000015
incremental,3,2a,-1,118904488,118904488,-1,0.876523,0.058,1,15,15,london-0000015
incremental,3,2b,-1,120234218,120234218,-1,0.886325,0.056,1,15,15,london-0000015
incremental,1,1a,-1,17928036,17928036,-1,0.428337,0.065,1,15,15,euro-night-0000015
incremental,1,1b,-1,20214410,20214410,-1,0.482963,0.057,1,15,15,euro-night-0000015
incremental,1,2a,-1,31674044,31674044,-1,0.756756,0.068,1,15,15,euro-night-0000015
incremental,1,2b,-1,18341312,18341312,-1,0.438211,0.064,1,15,15,euro-night-0000015
incremental,2,1a,-1,14818330,14818330,-1,0.354040,0.096,1,15,15,euro-night-0000015
incremental,2,1b,-1,9767138,9767138,-1,0.233356,0.042,1,15,15,euro-night-0000015
incremental,2,2a,-1,17462826,17462826,-1,0.417222,0.058,1,15,15,euro-night-0000015
incremental,2,2b,-1,17414134,17414134,-1,0.416058,0.049,1,15,15,euro-night-0000015
incremental,3,1a,-1,30021734,30021734,-1,0.717279,0.051,1,15,15,euro-night-0000015
incremental,3,1b,-1,30845696,30845696,-1,0.736965,0.048,1,15,15,euro-night-0000015
incremental,3,2a,-1,33864010,33864010,-1,0.809079,0.058,1,15,15,euro-night-0000015
incremental,3,2b,-1,34254550,34254550,-1,0.818410,0.063,1,15,15,euro-night-0000015
incremental,1,1a,-1,32983582,32983582,-1,0.471840,0.118,1,15,15,us-night-0000015
incremental,1,1b,-1,42513338,42513338,-1,0.608166,0.06,1,15,15,us-night-0000015
incremental,1,2a,-1,39742396,39742396,-1,0.568527,0.071,1,15,15,us-night-0000015
incremental,1,2b,-1,34065546,34065546,-1,0.487318,0.064,1,15,15,us-night-0000015
incremental,2,1a,-1,33952632,33952632,-1,0.485703,0.046,1,15,15,us-night-0000015
incremental,2,1b,-1,38197228,38197228,-1,0.546423,0.04,1,15,15,us-night-0000015
incremental,2,2a,-1,31244010,31244010,-1,0.446955,0.129,1,15,15,us-night-0000015
incremental,2,2b,-1,24968996,24968996,-1,0.357189,0.049,1,15,15,us-night-0000015
incremental,3,1a,-1,48170186,48170186,-1,0.689089,0.044,1,15,15,us-night-0000015
incremental,3,1b,-1,49776542,49776542,-1,0.712069,0.051,1,15,15,us-night-0000015
incremental,3,2a,-1,52657070,52657070,-1,0.753275,0.054,1,15,15,us-night-0000015
incremental,3,2b,-1,47731066,47731066,-1,0.682807,0.052,1,15,15,us-night-0000015
incremental,1,1a,-1,295846,295846,-1,0.697987,0.051,1,15,15,uniform-0000015-1
incremental,1,1b,-1,265868,265868,-1,0.627260,0.104,1,15,15,uniform-0000015-1
incremental,1,2a,-1,186514,186514,-1,0.440041,0.059,1,15,15,uniform-0000015-1
incremental,1,2b,-1,244030,244030,-1,0.575738,0.063,1,15,15,uniform-0000015-1
incremental,2,1a,-1,187216,187216,-1,0.441697,0.038,1,15,15,uniform-0000015-1
incremental,2,1b,-1,132570,132570,-1,0.312771,0.04,1,15,15,uniform-0000015-1
incremental,2,2a,-1,202388,202388,-1,0.477492,0.045,1,15,15,uniform-0000015-1
incremental,2,2b,-1,231824,231824,-1,0.546940,0.049,1,15,15,uniform-0000015-1
incremental,3,1a,-1,355934,355934,-1,0.839752,0.039,1,15,15,uniform-0000015-1
incremental,3,1b,-1,358190,358190,-1,0.845075,0.046,1,15,15,uniform-0000015-1
incremental,3,2a,-1,366102,366102,-1,0.863741,0.113,1,15,15,uniform-0000015-1
incremental,3,2b,-1,320082,320082,-1,0.755167,0.067,1,15,15,uniform-0000015-1
incremental,1,1a,-1,93276698374,93276698374,-1,0.613360,0.059,1,15,15,stars-0000015
incremental,1,1b,-1,70287538470,70287538470,-1,0.462190,0.054,1,15,15,stars-0000015
incremental,1,2a,-1,95104015828,95104015828,-1,0.625376,0.061,1,15,15,stars-0000015
incremental,1,2b,-1,93823588032,93823588032,-1,0.616956,0.062,1,15,15,stars-0000015
incremental,2,1a,-1,63553232778,63553232778,-1,0.417907,0.036,1,15,15,stars-0000015
incremental,2,1b,-1,60865762584,60865762584,-1,0.400235,0.038,1,15,15,stars-0000015
incremental,2,2a,-1,77299694270,77299694270,-1,0.508300,0.047,1,15,15,stars-0000015
incremental,2,2b,-1,86681515316,86681515316,-1,0.569992,0.044,1,15,15,stars-0000015
incremental,3,1a,-1,128794371106,128794371106,-1,0.846914,0.049,1,15,15,stars-0000015
incremental,3,1b,-1,121463232906,121463232906,-1,0.798707,0.041,1,15,15,stars-0000015
incremental,3,2a,-1,115780212624,115780212624,-1,0.761337,0.048,1,15,15,stars-0000015
incremental,3,2b,-1,114753863886,114753863886,-1,0.754588,0.051,1,15,15,stars-0000015
incremental,1,1a,-1,283734,283734,-1,0.684478,0.112,1,15,15,uniform-0000015-2
incremental,1,1b,-1,218162,218162,-1,0.526293,0.072,1,15,15,uniform-0000015-2
incremental,1,2a,-1,287330,287330,-1,0.693153,0.06,1,15,15,uniform-0000015-2
incremental,1,2b,-1,250574,250574,-1,0.604483,0.059,1,15,15,uniform-0000015-2
incremental,2,1a,-1,203938,203938,-1,0.491979,0.039,1,15,15,uniform-0000015-2
incremental,2,1b,-1,220502,220502,-1,0.531938,0.035,1,15,15,uniform-0000015-2
incremental,2,2a,-1,233312,233312,-1,0.562840,0.055,1,15,15,uniform-0000015-2
incremental,2,2b,-1,219066,219066,-1,0.528473,0.035,1,15,15,uniform-0000015-2
incremental,3,1a,-1,307878,307878,-1,0.742723,0.04,1,15,15,uniform-0000015-2
