opt_algorithm,minmax,L,threshold,lgs,area,cgal_area,pick_area,ratio,ratio_change,time,is_simple,points,points_on_poly,in_file
simulated_annealing,min,1000,-1,3,58872,58872,-1,0.351727,-1.000000,0.257,1,10,10,uniform-0000010-1
simulated_annealing,min,5000,-1,3,58872,58872,-1,0.351727,-1.000000,0.2,1,10,10,uniform-0000010-1
simulated_annealing,min,10000,-1,3,58872,58872,-1,0.351727,-1.000000,0.151,1,10,10,uniform-0000010-1
simulated_annealing,max,1000,-1,3,141402,141402,-1,0.844796,-1.000000,0.221,1,10,10,uniform-0000010-1
simulated_annealing,max,5000,-1,3,141402,141402,-1,0.844796,-1.000000,0.079,1,10,10,uniform-0000010-1
simulated_annealing,max,10000,-1,3,141402,141402,-1,0.844796,-1.000000,0.1,1,10,10,uniform-0000010-1
simulated_annealing,min,1000,-1,3,19207298,19207298,-1,0.179138,-1.000000,0.274,1,10,10,london-0000010
simulated_annealing,min,5000,-1,3,19207298,19207298,-1,0.179138,-1.000000,0.371,1,10,10,london-0000010
simulated_annealing,min,10000,-1,3,19207298,19207298,-1,0.179138,-1.000000,0.165,1,10,10,london-0000010
simulated_annealing,max,1000,-1,3,84790294,84790294,-1,0.790803,-1.000000,0.093,1,10,10,london-0000010
simulated_annealing,max,5000,-1,3,84790294,84790294,-1,0.790803,-1.000000,0.096,1,10,10,london-0000010
simulated_annealing,max,10000,-1,3,84790294,84790294,-1,0.790803,-1.000000,0.09,1,10,10,london-0000010
simulated_annealing,min,1000,-1,3,15143330,15143330,-1,0.474618,-1.000000,0.087,1,10,10,euro-night-0000010
simulated_annealing,min,5000,-1,3,15143330,15143330,-1,0.474618,-1.000000,0.087,1,10,10,euro-night-0000010
simulated_annealing,min,10000,-1,3,15143330,15143330,-1,0.474618,-1.000000,0.087,1,10,10,euro-night-0000010
simulated_annealing,max,1000,-1,3,28498980,28498980,-1,0.893206,-1.000000,0.092,1,10,10,euro-night-0000010
simulated_annealing,max,5000,-1,3,28498980,28498980,-1,0.893206,-1.000000,0.099,1,10,10,euro-night-0000010
simulated_annealing,max,10000,-1,3,28498980,28498980,-1,0.893206,-1.000000,0.096,1,10,10,euro-night-0000010
simulated_annealing,min,1000,-1,3,4263292,4263292,-1,0.293213,-1.000000,0.281,1,10,10,us-night-0000010
