opt_algorithm,minmax,L,threshold,lgs,area,cgal_area,pick_area,ratio,ratio_change,time,is_simple,points,points_on_poly,in_file
local_search,min,1,0.001,-1,58872,58872,-1,0.351727,-0.077118,0.096,1,10,10,uniform-0000010-1
local_search,min,1,0.0001,-1,58872,58872,-1,0.351727,-0.077118,0.096,1,10,10,uniform-0000010-1
local_search,min,1,1e-05,-1,58872,58872,-1,0.351727,-0.077118,0.096,1,10,10,uniform-0000010-1
local_search,min,5,0.001,-1,58872,58872,-1,0.351727,-0.077118,0.43,1,10,10,uniform-0000010-1
local_search,min,5,0.0001,-1,58872,58872,-1,0.351727,-0.077118,0.462,1,10,10,uniform-0000010-1
local_search,min,5,1e-05,-1,58872,58872,-1,0.351727,-0.077118,0.51,1,10,10,uniform-0000010-1
local_search,min,10,0.001,-1,58872,58872,-1,0.351727,-0.077118,0.51,1,10,10,uniform-0000010-1
local_search,min,10,0.0001,-1,58872,58872,-1,0.351727,-0.077118,0.555,1,10,10,uniform-0000010-1
local_search,min,10,1e-05,-1,58872,58872,-1,0.351727,-0.077118,0.555,1,10,10,uniform-0000010-1
local_search,max,1,0.001,-1,141402,141402,-1,0.844796,0.000000,0.064,1,10,10,uniform-0000010-1
local_search,max,1,0.0001,-1,141402,141402,-1,0.844796,0.000000,0.048,1,10,10,uniform-0000010-1
local_search,max,1,1e-05,-1,141402,141402,-1,0.844796,0.000000,0.142,1,10,10,uniform-0000010-1
local_search,max,5,0.001,-1,148010,148010,-1,0.884275,0.039479,0.431,1,10,10,uniform-0000010-1
local_search,max,5,0.0001,-1,148010,148010,-1,0.884275,0.039479,0.516,1,10,10,uniform-0000010-1
local_search,max,5,1e-05,-1,148010,148010,-1,0.884275,0.039479,0.477,1,10,10,uniform-0000010-1
local_search,max,10,0.001,-1,148010,148010,-1,0.884275,0.039479,0.485,1,10,10,uniform-0000010-1
local_search,max,10,0.0001,-1,148010,148010,-1,0.884275,0.039479,0.489,1,10,10,uniform-0000010-1
local_search,max,10,1e-05,-1,148010,148010,-1,0.884275,0.039479,0.482,1,10,10,uniform-0000010-1
simulated_annealing,min,1000,-1,1,71780,71780,-1,0.428845,0.000000,3.363,1,10,10,uniform-0000010-1
simulated_annealing,min,1000,-1,2,71780,71780,-1,0.428845,0.000000,5.448,1,10,10,uniform-0000010-1
simulated_annealing,min,5000,-1,1,71780,71780,-1,0.428845,0.000000,17.052,1,10,10,uniform-0000010-1
simulated_annealing,min,5000,-1,2,71780,71780,-1,0.428845,0.000000,32.428,1,10,10,uniform-0000010-1
simulated_annealing,min,10000,-1,1,71780,71780,-1,0.428845,0.000000,34.48,1,10,10,uniform-0000010-1
simulated_annealing,min,10000,-1,2,71780,71780,-1,0.428845,0.000000,54.786,1,10,10,uniform-0000010-1
simulated_annealing,max,1000,-1,1,141402,141402,-1,0.844796,0.000000,1.294,1,10,10,uniform-0000010-1
simulated_annealing,max,1000,-1,2,141402,141402,-1,0.844796,0.000000,4.424,1,10,10,uniform-0000010-1
simulated_annealing,max,5000,-1,1,141402,141402,-1,0.844796,0.000000,9.113,1,10,10,uniform-0000010-1
simulated_annealing,max,5000,-1,2,141402,141402,-1,0.844796,0.000000,22.803,1,10,10,uniform-0000010-1
simulated_annealing,max,10000,-1,1,141402,141402,-1,0.844796,0.000000,17.699,1,10,10,uniform-0000010-1
simulated_annealing,max,10000,-1,2,141402,141402,-1,0.844796,0.000000,45.541,1,10,10,uniform-0000010-1
local_search,min,1,0.001,-1,19207298,19207298,-1,0.179138,-0.449424,0.304,1,10,10,london-0000010
local_search,min,1,0.0001,-1,19207298,19207298,-1,0.179138,-0.449424,0.369,1,10,10,london-0000010
local_search,min,1,1e-05,-1,19207298,19207298,-1,0.179138,-0.449424,0.349,1,10,10,london-0000010
local_search,min,5,0.001,-1,19207298,19207298,-1,0.179138,-0.449424,1.251,1,10,10,london-0000010
local_search,min,5,0.0001,-1,19207298,19207298,-1,0.179138,-0.449424,1.27,1,10,10,london-0000010
local_search,min,5,1e-05,-1,19207298,19207298,-1,0.179138,-0.449424,1.377,1,10,10,london-0000010
local_search,min,10,0.001,-1,19207298,19207298,-1,0.179138,-0.449424,1.809,1,10,10,london-0000010
local_search,min,10,0.0001,-1,19207298,19207298,-1,0.179138,-0.449424,1.257,1,10,10,london-0000010
local_search,min,10,1e-05,-1,19207298,19207298,-1,0.179138,-0.449424,1.72,1,10,10,london-0000010
local_search,max,1,0.001,-1,95364394,95364394,-1,0.889423,0.151684,0.229,1,10,10,london-0000010
